id,name,genre,popularity
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,"deep-underground-hip-hop,hip-hop,kentucky-hip-hop,pop-rap,rap",80
2LRoIwlKmHjgvigdNGBHNo,Feid,"colombian-pop,pop-reggaeton,reggaeton,reggaeton-colombiano,trap-latino,urbano-latino",92
2NCGI6dLTxLdI9XHdv7QfM,The Andrews Sisters,"adult-standards,swing,torch-song,vocal-harmony-group",58
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,"pov:-indie,singer-songwriter-pop",87
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"conscious-hip-hop,hip-hop,rap,west-coast-rap",92
2auC28zjQyVTsiZKNgPRGs,RM,k-rap,77
2cBh5lVMg222FFuRU7EfDE,Sophie Ellis-Bextor,"dance-pop,europop,new-wave-pop",69
2dIgFjalVxs4ThymZ67YCE,Stray Kids,"k-pop,k-pop-boy-group,pop",85
2e4G04F77jxVuDYo44TCSm,Loco,"k-pop,k-rap,korean-r&b",67
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl-hip-hop,melodic-rap,rap,trap",87
2iE18Oxc8YSumAU232n4rW,The Jackson 5,"motown,soul",67
2jzc5TC5TVFLXQlBNiIUzE,a-ha,"new-romantic,new-wave,new-wave-pop,permanent-wave,synthpop",73
2loEsOijJ6XiGzWYFXMIRk,Adam Port,melodic-house,77
2mLA48B366zkELXYx7hcDN,Peggy Gou,"electra,float-house",68
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"big-room,brostep,dutch-edm,edm,house,pop-dance,progressive-electro-house,slap-house,trance",84
2p4aN0Uxkk3iT3HK0cJ2cJ,Tokischa,"rap-latina,trap-dominicano",71
2qoQgPAilErOKCwE2Y8wOG,GloRilla,southern-hip-hop,82
2rmkQLzj0k4nZdQehOUByO,Chino Pacas,corrido,83
2s4tjL6W3qrblOe0raIzwJ,Yoko Ono,"experimental,experimental-pop",56
2sF5nNXnrrsCPZlt8ZpyGd,Rich Amiri,rage-rap,71
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,"neo-mellow,permanent-wave,pop-rock,post-grunge",76
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian-hip-hop,85
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,chill-pop,80
2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn-indie,pov:-indie",84
2wcrc3fjebDRLVdtRUa3pu,Cal Scruby,"deep-underground-hip-hop,indie-pop-rap,ohio-hip-hop",58
2wzMOQwNT6ZvVB4amvhFAH,The Pogues,"celtic-punk,celtic-rock,folk-punk,punk",58
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,"argentine-hip-hop,bases-de-freestyle,trap-argentino,trap-latino,urbano-latino",80
2yyaNPcdxZcn4iutCcLMaC,Orso,,75
33NVpKoXjItPwUJTMZIOiY,David Kushner,"gen-z-singer-songwriter,singer-songwriter-pop",76
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,,86
35S20clEkkSNUo23ViaslZ,Band Aid,musical-advocacy,50
36cgvBn0aadzOijnjjwqMN,ILLIT,5th-gen-k-pop,76
37lTKHi901VnwngQ7C8noT,Malachiii,,75
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,,62
391oLRVmoTkumiN79HkTWu,Darlene Love,,54
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,"dance-pop,pop,talent-show",75
3CDoRporvSjdzTrm99a3gi,LUDMILLA,"funk-carioca,funk-pop,funk-rj,pagode-baiano,pop-nacional",78
