spotify_id,name,artists,artists_ids,song_genre,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7bywjHOc0wSjGGbj04XbVi,LUNA,Feid,2LRoIwlKmHjgvigdNGBHNo,reggae,13,1,-2,,2024-03-02,97,False,196800,FERXXOCALIPSIS,2023-12-01,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,YG Marley,0n4Fao9kbjgM76RmVlfSwr,other,14,-1,-2,,2024-03-02,95,True,263040,Praise Jah In The Moonlight,2023-12-27,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,4
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,hip-hop,15,0,-1,,2024-03-02,98,True,138411,Lovin On Me,2023-11-10,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4
3U5JVgI2x4rDyHGObzJfNf,Unwritten,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,pop,16,0,0,,2024-03-02,94,False,259333,Unwritten,2004-08-30,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,4
6XjDF6nds4DE2BBbagZol6,Gata Only,FloyyMenor,7CvTknweLr9feJtRGrpDBy,reggae,17,2,22,,2024-03-02,90,True,222000,Gata Only,2024-02-02,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,4
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,7tYKF4w9nC0nq9CsPZTHyP,other,18,-1,32,,2024-03-02,87,False,186191,Saturn,2024-02-22,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,4
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,rock,19,-1,0,,2024-03-02,96,False,183956,AM,2013-09-09,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
6Qb7YsAqH4wWFUMbGsCpap,Training Season,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,pop,20,1,-5,,2024-03-02,91,False,209487,Training Season,2024-02-15,0.815,0.582,5,-4.5,0,0.0532,0.0365,1.45e-06,0.138,0.671,123.03,4
7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,Myke Towers,7iK8PXO48WeuP03g8YR51W,reggae,21,4,3,,2024-03-02,94,True,174229,LVEU: VIVE LA TUYA...NO LA MIA,2023-09-18,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,4
4OMJGnvZfDvsePyCwRGO7X,Houdini,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,pop,22,1,-2,,2024-03-02,95,False,185917,Houdini,2023-11-09,0.744,0.789,9,-4.876,0,0.059,0.0036,0.00144,0.0947,0.866,116.985,4
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,Xavi,3Me35AWHCGqW4sZ7bWWJt1,other,23,-3,-6,,2024-03-02,96,True,156345,La Víctima,2023-08-17,0.778,0.835,11,-3.598,0,0.0767,0.152,0.0,0.109,0.666,140.082,4
7GUhiAHLoVy1V8ucQuZ3CB,Popular (with Playboi Carti & Madonna),The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,hip-hop,24,-2,-2,,2024-03-02,85,True,215466,The Highlights (Deluxe),2024-02-09,0.854,0.668,1,-6.243,1,0.2,0.0604,8.39e-05,0.382,0.833,99.018,4
