spotify_id,name,artists,artists_ids,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2oVLEoBVDvYrGmzrU7dEm5,TRÀN BỘ NHỚ (feat. Dương Domic),"ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,8,42,42,VN,2024-10-31,66,False,210000,"ANH TRAI ""SAY HI"", Chung Kết 1",2024-08-31,0.587,0.635,6,-6.275,1,0.0446,0.289,0.0,0.113,0.237,127.871,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,9,41,41,VN,2024-10-31,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3
3uT8QfoX0BE8ZJa4h98LDW,Wrong Times,Puppy,2dC1IBU9NOD9xsQJ5RE7j7,10,40,40,VN,2024-10-31,65,False,211200,Wrong Times,2023-05-17,0.809,0.42,8,-14.145,1,0.319,0.654,2.91e-06,0.116,0.521,148.048,4
4fj4Jn4nw8fGX8xdbCntJf,Sau Cơn Mưa,CoolKid,1Qia4CTwh6x0CZbD0079zi,11,39,39,VN,2024-10-31,67,False,154756,Sau Cơn Mưa,2023-07-28,0.69,0.3,6,-9.204,1,0.039,0.769,1.69e-06,0.123,0.646,81.983,4
4nXrVH5xwN1w6TpmP7uu8n,Exit Sign,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,12,38,38,VN,2024-10-31,67,False,201589,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,0.483,0.599,2,-7.564,1,0.39,0.848,2.01e-05,0.153,0.175,75.375,4
2Qcbspnftnon37jibwyvMU,I'll Be There,Jin,5vV3bFXnN6D6N3Nj4xRvaV,13,37,37,VN,2024-10-31,84,False,181677,I'll Be There,2024-10-25,0.538,0.738,10,-2.412,1,0.0445,0.0351,0.0,0.0898,0.736,148.887,4
2GE2p2dFpxp7OIz2QOFBzW,"KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)","ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,14,36,36,VN,2024-10-31,63,False,295058,"ANH TRAI ""SAY HI"" (Live Stage 4)",2024-08-26,0.657,0.67,1,-5.77,1,0.187,0.313,0.0,0.128,0.142,84.97,4
0e6fZkLArSmDIHnZcIua7t,Không Yêu Em Thì Yêu Ai?,Vũ.,57g2v7gJZepcwsuwssIfZs,15,35,35,VN,2024-10-31,63,False,232647,Bảo Tàng Của Nuối Tiếc,2024-09-27,0.695,0.516,10,-10.086,1,0.0525,0.522,0.000168,0.0903,0.546,130.023,4
3ZbZtdEw9U0uZW4tZItIwq,Chịu Cách Mình Nói Thua,RHYDER,1W2pigH6UYwuTuFbwoSfVZ,16,34,34,VN,2024-10-31,66,False,181558,Chịu Cách Mình Nói Thua,2023-11-22,0.604,0.737,10,-6.575,0,0.0372,0.16,0.0,0.115,0.36,154.173,4
4eeflgjzTF8xN8U2E0dech,NGỰA Ô,Dangrangto,5xY6E5PMZNtz9jDvxTRiGI,17,33,33,VN,2024-10-31,62,False,215415,NGỰA Ô,2024-10-02,0.837,0.494,1,-9.535,1,0.12,0.0062,5.27e-06,0.0885,0.33,160.946,4
446ygEWkggc5FMbBPQSMuM,"SAO HẠNG A (feat. HIEUTHUHAI, Dương Domic, Song Luân, Jsol & Trần Đăng Dương)","ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,18,32,32,VN,2024-10-31,61,False,252625,"ANH TRAI ""SAY HI"", Tập 14",2024-09-18,0.812,0.92,2,-4.552,1,0.0716,0.289,0.0,0.178,0.817,124.013,4
7gSQxwCpEMjg8wb6Y3oqe7,"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)","ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,19,31,31,VN,2024-10-31,64,False,245454,"ANH TRAI ""SAY HI"" (Live Stage 2)",2024-08-06,0.577,0.587,1,-5.814,1,0.0369,0.69,0.0,0.268,0.5,131.52,4
1K0HQ30Wc11okzlcnFA7Ub,Không Thể Say,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,20,30,30,VN,2024-10-31,66,False,228413,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,0.675,0.635,7,-5.266,1,0.0416,0.246,0.0,0.211,0.642,144.984,4
2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,3JsHnjpbhX4SnySpvpa9DK,21,29,29,VN,2024-10-31,86,False,182293,Layover,2023-08-11,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,4
31VNCmwspR7nVJ6kruUuJt,Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,22,28,28,VN,2024-10-31,67,False,279208,Đừng Làm Trái Tim Anh Đau,2024-06-08,0.854,0.636,11,-7.972,1,0.0406,0.527,0.0,0.135,0.858,125.512,4
5oFEvbM7lGnx8jfAkuhVyo,MỘNG YU,AMEE,2aQnC3DbZB9GbauvhAw7ve,23,27,27,VN,2024-10-31,65,False,202629,MỘNG YU,2024-08-02,0.867,0.625,4,-7.366,1,0.111,0.553,0.0,0.272,0.822,120.054,4
0SLzsfxED15vyUccX4bCqo,HOP ON DA SHOW,tlinh,3diftVOq7aEIebXKkC34oR,24,26,26,VN,2024-10-31,65,True,175876,HOP ON DA SHOW,2024-09-18,0.785,0.565,2,-5.629,1,0.185,0.035,1.74e-05,0.0808,0.293,145.012,4
40pWxpbXoBYGPCiofujjZ6,Chăm Hoa,MONO,5jTFNkoZebPnX90CbB3F2A,25,25,25,VN,2024-10-31,55,False,211111,Chăm Hoa,2024-10-22,0.715,0.617,4,-8.088,0,0.0298,0.0584,3.12e-06,0.204,0.46,107.989,4
3Nn9QjxOEj1pleW9xTG6cq,"TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik)","ANH TRAI ""SAY HI""",4wZ6awunqaaVLl5j0WpDFu,26,24,24,VN,2024-10-31,59,False,316000,"ANH TRAI ""SAY HI"", Tập 14",2024-09-18,0.856,0.788,1,-5.105,1,0.0517,0.0869,6.69e-06,0.184,0.709,119.995,4
0s7RyyUlQfd8mnnboHe18n,Hẹn Gặp Em Dưới Ánh Trăng,MANBO,2rKtPYcwYmevNcaqzJOwvf,27,23,23,VN,2024-10-31,64,False,222000,Hẹn Gặp Em Dưới Ánh Trăng,2020-09-25,0.787,0.658,8,-7.595,1,0.0325,0.65,2.31e-05,0.118,0.475,120.005,4
