id,name,genre,popularity
6HvZYsbFfjnjFrWF950C9d,NewJeans,"k-pop,k-pop-girl-group",82
6LBaSwUNOiuHp1WqbdrZO9,Hùng Huỳnh,,54
6NF9Oa4ThQWCj6mogFSrVD,W/N,"indie-viet,v-pop",61
6NmGVS8nPcqW6tnevWF3Zg,Trung Tu,v-pop,41
6TITnFVRcl0AcZ4syE7Toe,Low G,vietnamese-hip-hop,67
6V1SwiosQqf5XvmoTMCGa9,Dear Jane,cantopop,57
6YVMFz59CuY7ngCxTxjpxE,aespa,k-pop-girl-group,83
6Zx90B1VRgR4TB01S87duQ,Anh Phan,vietnamese-hip-hop,41
6c7kFoIy4IC56Pr5605Jnt,summerdayy,,32
6d0dLenjy5CnR5ZMn2agiV,GREY D,v-pop,61
6fIF1TzV4K21TUWPXoQDAj,UMIE,v-pop,50
6hnfLIkvDl6pjlAe1YRGXY,Bon Nghiêm,viet-chill-rap,53
6jRD85dsXJYn5vv73rqSGi,Chi Pu,v-pop,42
6jiITlNS4hrm3dq90ZDftJ,Tr.D,viet-chill-rap,45
6kFhNMq6O8P5QKdqlGMUVW,Tage,"vietnamese-hip-hop,vietnamese-trap",51
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious-hip-hop,hip-hop,north-carolina-hip-hop,rap",87
6oqtpFuvCTISMPeGv6P2sj,Bùi Công Nam,v-pop,52
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"art-pop,pop",96
6tWaQSIL7reD85PKStNk28,Kha,"indie-viet,v-pop",49
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,"indie-viet,v-pop,vietnamese-hip-hop",63
6zn0ihyAApAYV51zpXxdEp,10CM,k-pop,64
70ULEgr5A3zBL12foM4bnj,Vũ Phụng Tiên,v-pop,50
738wLrAtLtCtFOLvQBXOXp,Major Lazer,"dance-pop,edm,electro-house,moombahton,pop,pop-dance",77
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,pop,95
75Ki5hBCOpDtKGoFyTvLxP,Lou Hoàng,v-pop,58
79BbybQeUyNyFB8ghq4neb,Nomovodka,v-pop,39
7Cp2hGcriAaDUAWpXnSEwm,buitruonglinh,"indie-viet,v-pop",57
7LLfmKhGZI11XO0dO4xDI7,Anh Tú,v-pop,55
7bp2lSdh12wcA8LyB1srfJ,Sofia Carson,pop,72
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,"pop,r&b-en-espanol",82
7rpD9lGecstoaVj2vGXUex,Công Dương,v-pop,51
7yquVKfxBuNFJbG9cy2R8A,Vũ Cát Tường,v-pop,56
