id,name,genre,popularity,pop,rock,jazz,classical,blues,hip-hop,reggae,electronic,acoustic,other
6fIF1TzV4K21TUWPXoQDAj,UMIE,v-pop,50,1,0,0,0,0,0,0,0,0,0
6hnfLIkvDl6pjlAe1YRGXY,Bon Nghiêm,viet-chill-rap,53,0,0,0,0,0,1,0,0,0,0
6jRD85dsXJYn5vv73rqSGi,Chi Pu,v-pop,42,1,0,0,0,0,0,0,0,0,0
6jiITlNS4hrm3dq90ZDftJ,Tr.D,viet-chill-rap,45,0,0,0,0,0,1,0,0,0,0
6kFhNMq6O8P5QKdqlGMUVW,Tage,"vietnamese-hip-hop,vietnamese-trap",51,0,0,0,0,0,1,0,0,0,0
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious-hip-hop,hip-hop,north-carolina-hip-hop,rap",87,0,0,0,0,0,1,0,0,0,0
6oqtpFuvCTISMPeGv6P2sj,Bùi Công Nam,v-pop,52,1,0,0,0,0,0,0,0,0,0
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"art-pop,pop",96,1,0,0,0,0,0,0,0,0,0
6tWaQSIL7reD85PKStNk28,Kha,"indie-viet,v-pop",49,1,0,0,0,0,0,0,0,0,1
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,"indie-viet,v-pop,vietnamese-hip-hop",63,1,0,0,0,0,1,0,0,0,1
6zn0ihyAApAYV51zpXxdEp,10CM,,64,0,0,0,0,0,0,0,0,0,1
70ULEgr5A3zBL12foM4bnj,Vũ Phụng Tiên,v-pop,50,1,0,0,0,0,0,0,0,0,0
738wLrAtLtCtFOLvQBXOXp,Major Lazer,"dance-pop,edm,electro-house,moombahton,pop,pop-dance",77,1,0,0,0,0,0,0,1,0,0
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,pop,95,1,0,0,0,0,0,0,0,0,0
75Ki5hBCOpDtKGoFyTvLxP,Lou Hoàng,v-pop,58,1,0,0,0,0,0,0,0,0,0
79BbybQeUyNyFB8ghq4neb,Nomovodka,,39,0,0,0,0,0,0,0,0,0,1
7Cp2hGcriAaDUAWpXnSEwm,buitruonglinh,"indie-viet,v-pop",57,1,0,0,0,0,0,0,0,0,1
7LLfmKhGZI11XO0dO4xDI7,Anh Tú,v-pop,55,1,0,0,0,0,0,0,0,0,0
7bp2lSdh12wcA8LyB1srfJ,Sofia Carson,pop,72,1,0,0,0,0,0,0,0,0,0
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,"pop,r&b-en-espanol",82,1,0,0,0,0,0,0,0,0,1
7rpD9lGecstoaVj2vGXUex,Công Dương,,51,0,0,0,0,0,0,0,0,0,1
7yquVKfxBuNFJbG9cy2R8A,Vũ Cát Tường,v-pop,56,1,0,0,0,0,0,0,0,0,0
